note_num,hertz,octave,note_flat,note_sharp,midi_number
0,1,16.35,0,C,C,12
1,2,17.32,0,Db,C#,13
2,3,18.35,0,D,D,14
3,4,19.45,0,Eb,D#,15
4,5,20.6,0,E,E,16
5,6,21.83,0,F,F,17
6,7,23.12,0,Gb,F#,18
7,8,24.5,0,G,G,19
8,9,25.96,0,Ab,G#,20
9,10,27.5,0,A,A,21
10,11,29.14,0,Bb,A#,22
11,12,30.87,0,B,B,23
12,13,32.7,1,C,C,24
13,14,34.65,1,Db,C#,25
14,15,36.71,1,D,D,26
15,16,38.89,1,Eb,D#,27
16,17,41.2,1,E,E,28
17,18,43.65,1,F,F,29
18,19,46.25,1,Gb,F#,30
19,20,49.0,1,G,G,31
20,21,51.91,1,Ab,G#,32
21,22,55.0,1,A,A,33
22,23,58.27,1,Bb,A#,34
23,24,61.74,1,B,B,35
24,25,65.41,2,C,C,36
25,26,69.3,2,Db,C#,37
26,27,73.42,2,D,D,38
27,28,77.78,2,Eb,D#,39
28,29,82.41,2,E,E,40
29,30,87.31,2,F,F,41
30,31,92.5,2,Gb,F#,42
31,32,98.0,2,G,G,43
32,33,103.83,2,Ab,G#,44
33,34,110.0,2,A,A,45
34,35,116.54,2,Bb,A#,46
35,36,123.47,2,B,B,47
36,37,130.81,3,C,C,48
37,38,138.59,3,Db,C#,49
38,39,146.83,3,D,D,50
39,40,155.56,3,Eb,D#,51
40,41,164.81,3,E,E,52
41,42,174.61,3,F,F,53
42,43,185.0,3,Gb,F#,54
43,44,196.0,3,G,G,55
44,45,207.65,3,Ab,G#,56
45,46,220.0,3,A,A,57
46,47,233.08,3,Bb,A#,58
47,48,246.94,3,B,B,59
48,49,261.63,4,C,C,60
49,50,277.18,4,Db,C#,61
50,51,293.66,4,D,D,62
51,52,311.13,4,Eb,D#,63
52,53,329.63,4,E,E,64
53,54,349.23,4,F,F,65
54,55,369.99,4,Gb,F#,66
55,56,392.0,4,G,G,67
56,57,415.3,4,Ab,G#,68
57,58,440.0,4,A,A,69
58,59,466.16,4,Bb,A#,70
59,60,493.88,4,B,B,71
60,61,523.25,5,C,C,72
61,62,554.37,5,Db,C#,73
62,63,587.33,5,D,D,74
63,64,622.25,5,Eb,D#,75
64,65,659.25,5,E,E,76
65,66,698.46,5,F,F,77
66,67,739.99,5,Gb,F#,78
67,68,783.99,5,G,G,79
68,69,830.61,5,Ab,G#,80
69,70,880.0,5,A,A,81
70,71,932.33,5,Bb,A#,82
71,72,987.77,5,B,B,83
72,73,1046.5,6,C,C,84
73,74,1108.73,6,Db,C#,85
74,75,1174.66,6,D,D,86
75,76,1244.51,6,Eb,D#,87
76,77,1318.51,6,E,E,88
77,78,1396.91,6,F,F,89
78,79,1479.98,6,Gb,F#,90
79,80,1567.98,6,G,G,91
80,81,1661.22,6,Ab,G#,92
81,82,1760.0,6,A,A,93
82,83,1864.66,6,Bb,A#,94
83,84,1975.53,6,B,B,95
84,85,2093.0,7,C,C,96
85,86,2217.46,7,Db,C#,97
86,87,2349.32,7,D,D,98
87,88,2489.02,7,Eb,D#,99
88,89,2637.02,7,E,E,100
89,90,2793.83,7,F,F,101
90,91,2959.96,7,Gb,F#,102
91,92,3135.96,7,G,G,103
92,93,3322.44,7,Ab,G#,104
93,94,3520.0,7,A,A,105
94,95,3729.31,7,Bb,A#,106
95,96,3951.07,7,B,B,107
96,97,4186.01,8,C,C,108
97,98,4434.92,8,Db,C#,109
98,99,4698.63,8,D,D,110
99,100,4978.03,8,Eb,D#,111
100,101,5274.04,8,E,E,112
101,102,5587.65,8,F,F,113
102,103,5919.91,8,Gb,F#,114
103,104,6271.93,8,G,G,115
104,105,6644.88,8,Ab,G#,116
105,106,7040.0,8,A,A,117
106,107,7458.62,8,Bb,A#,118
107,108,7902.13,8,B,B,119
